GEOID10,Category
6075980600,Abandoned Vehicle
6075980600,Graffiti Public Property
6075980600,Street and Sidewalk Cleaning
6075980600,Street and Sidewalk Cleaning
6075980600,Street and Sidewalk Cleaning
6075980600,Street and Sidewalk Cleaning
6075980600,Street and Sidewalk Cleaning
6075980600,Street and Sidewalk Cleaning
6075980600,Street and Sidewalk Cleaning
6075980600,MUNI Feedback
6075980600,General Requests
6075980600,MUNI Feedback
6075980600,Abandoned Vehicle
6075980600,Street and Sidewalk Cleaning
6075980600,Street and Sidewalk Cleaning
6075980600,Abandoned Vehicle
6075980600,Street and Sidewalk Cleaning
6075980600,Abandoned Vehicle
6075980600,Street and Sidewalk Cleaning
6075980600,Street and Sidewalk Cleaning
6075980600,Street and Sidewalk Cleaning
6075980600,Abandoned Vehicle
6075980600,Street and Sidewalk Cleaning
6075980600,MUNI Feedback
6075980600,Abandoned Vehicle
6075980600,General Requests
6075980600,Street and Sidewalk Cleaning
6075980600,Street and Sidewalk Cleaning
6075980600,Street and Sidewalk Cleaning
6075980600,Street and Sidewalk Cleaning
6075023103,Abandoned Vehicle
6075980600,Street and Sidewalk Cleaning
6075023103,Street and Sidewalk Cleaning
6075023103,Street Defects
6075980600,Abandoned Vehicle
6075980600,MUNI Feedback
6075023103,Sewer Issues
6075023103,Street and Sidewalk Cleaning
6075023103,Street and Sidewalk Cleaning
6075023103,Street and Sidewalk Cleaning
6075023103,Blocked Street or SideWalk
6075023103,Street and Sidewalk Cleaning
6075023103,SFHA Requests
6075023103,Residential Building Request
6075023103,Street and Sidewalk Cleaning
6075023103,Street and Sidewalk Cleaning
6075023103,Street and Sidewalk Cleaning
6075023103,Street Defects
6075023103,Street and Sidewalk Cleaning
6075023103,General Requests
6075023103,Street and Sidewalk Cleaning
6075023103,General Requests
6075023103,Sidewalk or Curb
6075023103,Abandoned Vehicle
6075023103,Street and Sidewalk Cleaning
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023103,Street and Sidewalk Cleaning
6075023103,Street and Sidewalk Cleaning
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023103,Street and Sidewalk Cleaning
6075023103,Streetlights
6075023103,Street and Sidewalk Cleaning
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023103,General Requests
6075023103,Street Defects
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023103,Street Defects
6075023103,Street Defects
6075023103,SFHA Requests
6075023103,Street and Sidewalk Cleaning
6075023103,Damaged Property
6075023103,Sewer Issues
6075023103,SFHA Requests
6075023103,Streetlights
6075023103,SFHA Requests
6075023103,General Requests
6075023103,MUNI Feedback
6075023103,General Requests
6075023103,Abandoned Vehicle
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023103,Street and Sidewalk Cleaning
6075980900,Sidewalk or Curb
6075980900,Rec and Park Requests
6075980900,Rec and Park Requests
6075980900,Street and Sidewalk Cleaning
6075980900,Abandoned Vehicle
6075980900,Abandoned Vehicle
6075023103,General Requests
6075023103,Abandoned Vehicle
6075023103,Street and Sidewalk Cleaning
6075023103,Abandoned Vehicle
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023103,Street and Sidewalk Cleaning
6075023103,Sewer Issues
6075980900,Street Defects
6075023103,General Requests
6075023103,Street and Sidewalk Cleaning
6075023103,Street and Sidewalk Cleaning
6075023103,Street and Sidewalk Cleaning
6075023103,Abandoned Vehicle
6075023103,MUNI Feedback
6075023103,Street and Sidewalk Cleaning
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023103,Sewer Issues
6075023103,SFHA Requests
6075023103,General Requests
6075023103,Abandoned Vehicle
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023103,SFHA Requests
6075023200,Street and Sidewalk Cleaning
6075023103,Street and Sidewalk Cleaning
6075023200,Street and Sidewalk Cleaning
6075023103,General Requests
6075023103,Street and Sidewalk Cleaning
6075023200,Street and Sidewalk Cleaning
6075023200,Abandoned Vehicle
6075023200,Abandoned Vehicle
6075023200,Abandoned Vehicle
6075023200,Abandoned Vehicle
6075023103,Streetlights
6075023103,Tree Maintenance
6075023103,MUNI Feedback
6075023103,Street and Sidewalk Cleaning
