id,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,review_scores_rating
2082223,40.71031496,-74.01637828,Apartment,Private room,1,1,1,1,Real Bed,80,90
2986941,40.71727867,-74.01524009,Apartment,Entire home/apt,2,1,1,1,Real Bed,300,100
1712688,40.71177334,-74.01729972,Apartment,Entire home/apt,2,1,0,1,Real Bed,400,
845495,40.70742647,-74.01731675,Apartment,Entire home/apt,4,1,1,2,Real Bed,250,97
2373737,40.70773065,-74.01754345,Apartment,Entire home/apt,4,1,1,1,Real Bed,255,93
1777007,40.71077738,-74.01623345,Apartment,Shared room,1,,1,1,Couch,43,94
7331616,40.70829851,-74.01738597,Apartment,Shared room,1,1,1,1,Real Bed,66,
7545654,40.71108553,-74.01521656,Apartment,Private room,1,1,1,1,Real Bed,85,80
2932027,40.71286355,-74.01437382,Apartment,Private room,2,1,1,1,Real Bed,165,96
1431373,40.71158149,-74.01665835,Apartment,Private room,2,1,1,1,Real Bed,128,89
6676468,40.71093167,-74.01770705,Other,Private room,2,2,1,2,Real Bed,130,100
5638546,40.71027244,-74.01634108,Apartment,Private room,2,1,1,1,Real Bed,185,100
7572679,40.71139399,-74.01558939,Apartment,Private room,2,1,1,1,Real Bed,60,80
1377832,40.7100548,-74.01688869,Apartment,Private room,1,1,1,1,Real Bed,200,
8089213,40.71031342,-74.0153701,Apartment,Private room,2,1,1,1,Real Bed,95,
5845303,40.71125218,-74.01716763,Apartment,Entire home/apt,2,1,1,1,Real Bed,195,93
4091703,40.71078453,-74.01542289,Apartment,Entire home/apt,2,1,1,1,Real Bed,189,97
1198449,40.71111219,-74.01735578,Apartment,Entire home/apt,4,1,1,2,Real Bed,270,100
6656727,40.70656758,-74.01726716,Apartment,Entire home/apt,3,2,1,1,Real Bed,235,95
7595545,40.70992266,-74.01695985,Apartment,Entire home/apt,2,1,1,1,Real Bed,260,100
903575,40.70404353,-74.01657166,Apartment,Entire home/apt,2,1,1,1,Real Bed,204,95
1978394,40.70817839,-74.01550424,Apartment,Entire home/apt,4,1,1,2,Real Bed,249,97
7515654,40.70417084,-74.01663705,Apartment,Private room,2,1,1,1,Real Bed,100,
1381569,40.70996998,-74.01476565,Apartment,Entire home/apt,2,1,1,1,Real Bed,279,100
1187540,40.70963235,-74.0151852,Apartment,Private room,1,1,1,1,Real Bed,90,100
1272550,40.70850979,-74.01768903,Apartment,Entire home/apt,4,1,1,1,Real Bed,210,
3157420,40.71028726,-74.01725347,Apartment,Private room,2,1,1,1,Real Bed,100,80
9073,40.70550522,-74.01765551,Apartment,Entire home/apt,2,1,1,2,Real Bed,300,
7347106,40.71210382,-74.01593239,Apartment,Entire home/apt,2,1,0,1,Real Bed,139,
264577,40.70649419,-74.01646315,Apartment,Shared room,3,1,1,2,Real Bed,139,89
5639029,40.71054114,-74.01735936,House,Private room,2,1,1,1,Real Bed,185,
7297260,40.70963595,-74.01685538,Apartment,Entire home/apt,2,1,1,1,Real Bed,119,100
