id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,property_type,accommodates,bathrooms,bedrooms,beds,square_feet,cleaning_fee,review_scores_rating,review_scores_location
7087327,Historic DC Condo-Walk to Capitol!,"Capitol Hill, Lincoln Park",38.8900463912,-77.0028080959,Entire home/apt,160,1,0,,NA,283,House,4,1,1,2,NA,$115.00,NA,NA
975833,Spacious Capitol Hill Townhouse,"Capitol Hill, Lincoln Park",38.8804128179,-76.9904848666,Entire home/apt,350,2,65,2015-09-28,2.11,343,House,6,3,3,3,NA,$100.00,94,9
8249488,Spacious/private room for single,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.95529092,-76.9860057399,Private room,50,2,1,2015-09-10,1,60,House,1,2,1,1,NA,,NA,NA
8409022,A wonderful bedroom with library,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.8721338763,-77.0196387903,Private room,95,1,0,,NA,365,House,2,1,1,1,NA,,NA,NA
8411173,Downtown Silver Spring,"Colonial Village, Shepherd Park, North Portal Estates",38.9963816296,-77.0415410081,Entire home/apt,50,7,0,,NA,351,Townhouse,4,1,1,1,NA,$15.00,NA,NA
8634774,Exclusive Catamaran Houseboat,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.8624863333,-77.0150620123,Entire home/apt,99,1,0,,NA,361,Boat,4,1,2,4,NA,,NA,NA
8498095,"Cozy DC Condo, Close to Metro!","Takoma, Brightwood, Manor Park",38.9747376624,-77.0270757639,Entire home/apt,100,3,0,,NA,21,Condominium,4,2,2,2,NA,$50.00,NA,NA
8513660,Warm and Cozy 1 Bedroom Apt,"Woodridge, Fort Lincoln, Gateway",38.9414856301,-76.9684847517,Entire home/apt,100,1,0,,NA,365,Apartment,2,1,1,1,NA,,NA,NA
8298145,Private room for rent,"Capitol View, Marshall Heights, Benning Heights",38.8801049592,-76.9190305417,Private room,38,2,1,2015-09-15,1,360,House,2,1.5,1,1,NA,,100,10
295345,Elite Room w/private bath Eden Park,"Takoma, Brightwood, Manor Park",38.9755924467,-77.0107132631,Private room,71,2,4,2015-05-25,0.33,352,Bed & Breakfast,2,NA,1,1,NA,$10.00,90,10
