Geography_Code,Borough,Region,Median_Downl_Speed,Density_Person_HA,Avg_HH_Income
E01000001,City of London,Central,5.7822222222,112.9,37540
E01000002,City of London,Central,6.23,62.9,36620
E01000003,City of London,Central,12.3606060606,227.7,24210
E01000005,City of London,Central,11.075,52,16540
E01000006,Barking and Dagenham,East,21.3857142857,116.2,13480
E01000007,Barking and Dagenham,East,18.7666666667,69.5,10660
E01000008,Barking and Dagenham,East,21.5095238095,79.1,7800
E01000009,Barking and Dagenham,East,24.7074074074,138.6,11120
E01000010,Barking and Dagenham,East,17.1985294118,80.7,14780
E01000011,Barking and Dagenham,East,27.8083333333,178.2,9930
E01000012,Barking and Dagenham,East,17.07,136.8,9580
E01000013,Barking and Dagenham,East,25.8086956522,79.9,10460
E01000014,Barking and Dagenham,East,27.5909090909,48.5,12380
E01000015,Barking and Dagenham,East,18.340625,79.9,11960
E01000016,Barking and Dagenham,East,19.285,82.3,12040
E01000017,Barking and Dagenham,East,30.7863636364,100.6,10560
E01000018,Barking and Dagenham,East,28.62,91.9,11350
E01000019,Barking and Dagenham,East,30.3411764706,76.5,11140
E01000020,Barking and Dagenham,East,17.7592592593,98,12030
E01000021,Barking and Dagenham,East,24.1142857143,93.3,10900
E01000022,Barking and Dagenham,East,14.4736842105,102.4,12320
E01000023,Barking and Dagenham,East,8.1636363636,53.7,13950
E01000024,Barking and Dagenham,East,16.8058823529,103.9,11780
E01000025,Barking and Dagenham,East,16.8,104.9,12980
E01000027,Barking and Dagenham,East,23.3714285714,11.6,10470
E01000028,Barking and Dagenham,East,25.5695652174,107.7,10590
E01000029,Barking and Dagenham,East,26.012,62.4,14420
E01000030,Barking and Dagenham,East,27.1,66.9,8510
E01000031,Barking and Dagenham,East,27.2896551724,19.2,14440
E01000032,Barking and Dagenham,East,27.1378378378,43.4,13010
E01000033,Barking and Dagenham,East,30.3375,93.7,11040
E01000034,Barking and Dagenham,East,25.5384615385,28.1,13100
E01000035,Barking and Dagenham,East,14.9068965517,40.5,12740
E01000036,Barking and Dagenham,East,20.3058823529,32.3,14430
E01000037,Barking and Dagenham,East,33.3411764706,72.3,19090
E01000038,Barking and Dagenham,East,34.7346153846,67.6,16290
E01000039,Barking and Dagenham,East,21.1571428571,10.5,16490
E01000040,Barking and Dagenham,East,15.448,91.9,10440
E01000041,Barking and Dagenham,East,29.8684210526,110.2,11900
E01000042,Barking and Dagenham,East,18.9666666667,77.3,9350
E01000043,Barking and Dagenham,East,22.0428571429,51,12040
E01000044,Barking and Dagenham,East,19.945,105.4,13280
E01000045,Barking and Dagenham,East,19.76,55.3,10440
E01000046,Barking and Dagenham,East,26.2863636364,114.4,13210
E01000048,Barking and Dagenham,East,22.38,275.6,7000
E01000049,Barking and Dagenham,East,24.3923076923,85.8,7700
E01000050,Barking and Dagenham,East,21.596,120.6,10820
E01000051,Barking and Dagenham,East,13.8952380952,288.9,9950
E01000052,Barking and Dagenham,East,25.4766666667,100.9,11220
