STATE,COUNTY_CODE,COUNTY,TRACT,pop_tot,insured,uninsured,pct_unins,pct_insur,med_age,age_undr25,age_25_64,age_65over,pct_undr25,pct_25_64,pct_65over,labor_frc,employed,unemployed,pct_empl,pct_unemp,married,pct_mar,white,pct_white,hisp,pct_hisp,med_income
Arizona,13,Maricopa County,10101,4957,4718,239,0.048214646,0.951785354,54.5,852,2361,1744,0.1718781521,0.4762961469,0.351825701,1985,1813,172,0.9133501259,0.0866498741,3458,0.780763152,4836,0.9755900746,29,0.0058503127,106818
Arizona,13,Maricopa County,10102,4033,3996,37,0.0091743119,0.9908256881,64.1,176,2030,1827,0.0436399702,0.5033473841,0.4530126457,1666,1602,64,0.9615846339,0.0384153661,3341,0.8566666667,3820,0.9471857178,73,0.0181006695,132822
Arizona,13,Maricopa County,30401,4037,3776,221,0.0552914686,0.9447085314,65.6,265,1694,2078,0.0656428041,0.4196185286,0.5147386673,1520,1480,40,0.9736842105,0.0263157895,2514,0.6466049383,3791,0.9390636611,179,0.0443398563,97188
Arizona,13,Maricopa County,30402,3940,3670,270,0.0685279188,0.9314720812,55.9,778,2128,1034,0.1974619289,0.5401015228,0.2624365482,1679,1513,166,0.901131626,0.098868374,2275,0.6479635432,3642,0.9243654822,137,0.0347715736,76069
Arizona,13,Maricopa County,40502,5221,4293,888,0.1713954835,0.8286045165,52.1,1242,2376,1603,0.2378854626,0.4550852327,0.3070293047,2209,2089,116,0.9456767768,0.0525124491,2232,0.5077343039,4384,0.8396858839,753,0.1442252442,32424
Arizona,13,Maricopa County,40506,5334,5102,232,0.0434945632,0.9565054368,72.9,0,1265,4069,0,0.2371578553,0.7628421447,1042,930,112,0.8925143954,0.1074856046,3087,0.5787401575,5300,0.9936257968,0,0,38090
Arizona,13,Maricopa County,40507,6294,5788,243,0.0402918256,0.9597081744,76.9,81,1091,5122,0.0128693994,0.1733396886,0.813790912,656,582,74,0.887195122,0.112804878,3397,0.5397203686,6014,0.9555131872,53,0.0084207181,39721
Arizona,13,Maricopa County,40512,1566,1541,25,0.0159642401,0.9840357599,77.4,7,134,1425,0.0044699872,0.0855683269,0.9099616858,111,104,7,0.9369369369,0.0630630631,1159,0.7401021711,1486,0.9489144317,34,0.0217113665,47232
Arizona,13,Maricopa County,40513,2942,2919,23,0.007817811,0.992182189,76.9,0,393,2549,0,0.1335825969,0.8664174031,176,165,11,0.9375,0.0625,2063,0.7012236574,2892,0.9830047587,0,0,57690
Arizona,13,Maricopa County,40514,2867,2784,83,0.0289501221,0.9710498779,72.9,13,456,2398,0.0045343565,0.1590512731,0.8364143704,407,366,41,0.8992628993,0.1007371007,1869,0.6519009418,2753,0.9602371817,47,0.0163934426,44375
Arizona,13,Maricopa County,40515,4560,3608,943,0.2072072072,0.7927927928,54.4,964,2094,1502,0.2114035088,0.4592105263,0.3293859649,1994,1833,161,0.9192577733,0.0807422267,2835,0.7026022305,3189,0.6993421053,1294,0.2837719298,51984
Arizona,13,Maricopa County,40516,3998,3861,137,0.0342671336,0.9657328664,59.9,705,1977,1316,0.1763381691,0.4944972486,0.3291645823,1349,1220,129,0.9043736101,0.0956263899,2488,0.7128939828,3625,0.9067033517,299,0.0747873937,71875
Arizona,13,Maricopa County,40517,7136,6470,627,0.088347189,0.911652811,39.3,2013,4019,1104,0.2820908072,0.5632006726,0.1547085202,3120,2432,649,0.7794871795,0.2080128205,2861,0.4886421862,5157,0.7226737668,1201,0.1683015695,42334
Arizona,13,Maricopa County,40518,7482,6926,524,0.0703355705,0.9296644295,36.6,2464,3926,1092,0.3293237102,0.5247260091,0.1459502807,3057,2767,290,0.905135754,0.094864246,3579,0.6424340334,5027,0.6718791767,1600,0.2138465651,61163
Arizona,13,Maricopa County,40519,4701,4489,212,0.0450967879,0.9549032121,58.7,1032,2302,1367,0.2195277601,0.4896830462,0.2907891938,1762,1663,99,0.9438138479,0.0561861521,2763,0.726340694,4062,0.8640714742,287,0.0610508402,86726
Arizona,13,Maricopa County,40520,4223,3997,226,0.0535164575,0.9464835425,36.3,1791,2164,268,0.4241060857,0.5124319204,0.0634619938,2057,1994,63,0.9693728731,0.0306271269,2124,0.7372440125,3561,0.8432394033,287,0.067961165,115327
Arizona,13,Maricopa County,40521,6303,5537,766,0.1215294304,0.8784705696,29.8,2746,3153,404,0.4356655561,0.5002379819,0.064096462,3108,3025,83,0.9732947233,0.0267052767,2798,0.6603729054,4285,0.6798349992,701,0.1112168809,92899
Arizona,13,Maricopa County,40522,4332,4176,156,0.0360110803,0.9639889197,76.5,0,315,4017,0,0.0727146814,0.9272853186,298,275,23,0.9228187919,0.0771812081,3313,0.7647737765,4245,0.9799168975,0,0,44535
Arizona,13,Maricopa County,40523,2777,2687,79,0.0285610991,0.9714389009,68.9,0,750,2027,0,0.2700756212,0.7299243788,516,442,63,0.8565891473,0.1220930233,2169,0.7810586964,2563,0.9229384228,34,0.0122434282,64347
Arizona,13,Maricopa County,40524,1466,1448,18,0.0122783083,0.9877216917,69.2,0,360,1106,0,0.2455661664,0.7544338336,250,235,15,0.94,0.06,1171,0.7987721692,1371,0.9351978172,25,0.017053206,64167
Arizona,13,Maricopa County,40525,3187,3093,94,0.0294948227,0.9705051773,69.8,0,677,2510,0,0.2124254785,0.7875745215,559,540,19,0.9660107335,0.0339892665,2486,0.7800439285,3006,0.9432067775,98,0.0307499216,62022
Arizona,13,Maricopa County,40526,2043,2035,8,0.0039158101,0.9960841899,71.7,0,275,1768,0,0.1346059716,0.8653940284,237,220,17,0.9282700422,0.0717299578,1489,0.7288301517,1893,0.9265785609,70,0.0342633382,52625
Arizona,13,Maricopa County,40527,3898,3798,100,0.0256541816,0.9743458184,58,532,1692,1674,0.1364802463,0.4340687532,0.4294510005,1439,1178,261,0.8186240445,0.1813759555,2410,0.6771565046,3243,0.8319651103,416,0.1067213956,48571
Arizona,13,Maricopa County,40528,6256,6220,36,0.0057544757,0.9942455243,71.9,20,1055,5181,0.0031969309,0.1686381074,0.8281649616,752,719,33,0.9561170213,0.0438829787,4988,0.797314578,6015,0.9614769821,89,0.0142263427,58217
Arizona,13,Maricopa County,40529,2896,2827,69,0.0238259669,0.9761740331,71.3,0,537,2359,0,0.1854281768,0.8145718232,356,330,26,0.9269662921,0.0730337079,2187,0.755179558,2765,0.9547651934,64,0.0220994475,50275
Arizona,13,Maricopa County,40530,4205,3795,410,0.0975029727,0.9024970273,36.2,1652,1948,605,0.3928656361,0.4632580262,0.1438763377,1998,1802,196,0.9019019019,0.0980980981,1537,0.494053359,2993,0.7117717004,880,0.209274673,54835
Arizona,13,Maricopa County,40531,3497,3259,238,0.0680583357,0.9319416643,59.8,754,1054,1689,0.2156133829,0.301401201,0.4829854161,1103,1005,98,0.9111514053,0.0888485947,1491,0.4874141876,2739,0.7832427795,448,0.1281098084,35837
Arizona,13,Maricopa County,50603,4234,3014,1220,0.2881435994,0.7118564006,37.2,1402,2281,551,0.3311289561,0.5387340576,0.1301369863,1765,1519,246,0.8606232295,0.1393767705,1862,0.5379947992,2914,0.6882380727,1218,0.2876712329,42235
Arizona,13,Maricopa County,50604,3601,3008,593,0.1646764788,0.8353235212,32.1,1665,1603,333,0.4623715635,0.4451541239,0.0924743127,1431,1233,198,0.8616352201,0.1383647799,1582,0.6423061307,2111,0.5862260483,1443,0.4007220217,45893
Arizona,13,Maricopa County,50605,6922,6346,525,0.076408092,0.923591908,32.2,2682,3569,671,0.3874602716,0.515602427,0.0969373014,2864,2595,218,0.906075419,0.0761173184,3324,0.6754724649,4828,0.6974862756,1410,0.2036983531,71266
Arizona,13,Maricopa County,50606,7689,6922,759,0.0988152584,0.9011847416,39.8,3023,4094,572,0.3931590584,0.5324489531,0.0743919886,3626,3202,424,0.8830667402,0.1169332598,3575,0.6216310207,5612,0.7298738458,1445,0.1879308102,81957
Arizona,13,Maricopa County,50607,7561,6583,947,0.1257636122,0.8742363878,29.1,3479,3610,472,0.4601243222,0.4774500727,0.0624256051,3023,2832,160,0.9368177307,0.0529275554,2660,0.516906335,4102,0.5425208306,2866,0.3790503902,52862
Arizona,13,Maricopa County,50608,7338,6028,1294,0.17672767,0.82327233,29.6,3288,3366,684,0.4480784955,0.4587080948,0.0932134096,3442,2898,528,0.8419523533,0.1533991865,2708,0.5163996949,4108,0.5598255655,2282,0.3109839193,51042
Arizona,13,Maricopa County,50609,4891,4035,856,0.1750153343,0.8249846657,34.4,1818,2374,699,0.3717031282,0.4853813126,0.1429155592,2337,2118,219,0.9062901155,0.0937098845,2333,0.6455451024,2448,0.5005111429,1594,0.325904723,47888
Arizona,13,Maricopa County,50610,9183,8163,1020,0.1110748122,0.8889251878,31,3953,4527,703,0.4304693455,0.4929761516,0.0765545029,4509,4294,215,0.952317587,0.047682413,3544,0.5272240405,4360,0.4747903735,3733,0.4065120331,69474
Arizona,13,Maricopa County,50611,5536,4168,1312,0.2394160584,0.7605839416,29.5,2242,2964,330,0.4049855491,0.5354046243,0.0596098266,2765,2586,123,0.9352622061,0.0444846293,2290,0.5707876371,2407,0.4347904624,1767,0.319183526,70426
Arizona,13,Maricopa County,50701,5299,4622,640,0.1216267579,0.8783732421,31.6,2083,2749,467,0.3930930364,0.5187771278,0.0881298358,2381,2280,64,0.9575808484,0.0268794624,1939,0.5006454944,2502,0.4721645594,2096,0.3955463295,49638
Arizona,13,Maricopa County,50702,5351,4177,1155,0.2166166542,0.7833833458,32.2,2155,2789,407,0.402728462,0.5212109886,0.0760605494,2142,1985,138,0.9267040149,0.0644257703,2023,0.5044887781,2201,0.411324986,2664,0.497850869,29539
Arizona,13,Maricopa County,60801,6092,4552,1487,0.24623282,0.75376718,35.5,2302,2718,1072,0.3778726198,0.4461588969,0.1759684833,2263,1998,265,0.8828988069,0.1171011931,1870,0.4122574956,2011,0.3301050558,3489,0.5727183191,29329
Arizona,13,Maricopa County,60802,2524,2180,344,0.1362916006,0.8637083994,30,987,1302,235,0.3910459588,0.5158478605,0.0931061807,1308,1177,131,0.8998470948,0.1001529052,987,0.5402298851,1266,0.5015847861,1004,0.3977812995,53796
Arizona,13,Maricopa County,60901,4522,3830,684,0.1515285778,0.8484714222,27.3,1991,2313,218,0.4402919062,0.5114993366,0.0482087572,2229,2062,159,0.9250785105,0.0713324361,1294,0.4143451809,2048,0.4528969483,1956,0.4325519682,57611
Arizona,13,Maricopa County,60902,3719,2902,814,0.2190527449,0.7809472551,30.1,1755,1335,629,0.4719010487,0.3589674644,0.169131487,1221,1099,119,0.9000819001,0.0974610975,1055,0.3975131876,476,0.1279913955,2990,0.8039795644,32468
Arizona,13,Maricopa County,60903,5374,4348,1026,0.1909192408,0.8090807592,22.7,2942,2191,241,0.5474506885,0.4077037588,0.0448455527,2183,1974,209,0.9042601924,0.0957398076,1550,0.446814644,1357,0.2525120953,3450,0.6419799032,38087
Arizona,13,Maricopa County,60904,3491,2850,641,0.18361501,0.81638499,28.1,1515,1778,198,0.4339730736,0.5093096534,0.056717273,1667,1541,126,0.924415117,0.075584883,1079,0.4142034549,1535,0.4397020911,1597,0.4574620453,42917
Arizona,13,Maricopa County,61009,9572,8609,871,0.0918776371,0.9081223629,36.5,2935,5186,1451,0.3066234852,0.5417885499,0.1515879649,4504,4207,223,0.9340586146,0.0495115453,4778,0.6155629992,5243,0.5477434183,2535,0.2648349352,68025
Arizona,13,Maricopa County,61010,4726,4413,294,0.0624601657,0.9375398343,45.5,1307,2411,1008,0.2765552264,0.5101565806,0.213288193,2395,2285,91,0.9540709812,0.0379958246,2380,0.5997983871,3646,0.7714769361,791,0.1673719848,88244
Arizona,13,Maricopa County,61011,5362,4850,493,0.0922702602,0.9077297398,29.4,2351,2522,489,0.4384558001,0.4703468855,0.0911973144,2534,2326,189,0.9179163378,0.0745856354,2008,0.5109414758,2895,0.5399104812,1531,0.2855277881,59475
Arizona,13,Maricopa County,61012,8440,6856,1205,0.1494851755,0.8505148245,37,2911,4481,1048,0.3449052133,0.5309241706,0.1241706161,4080,3684,192,0.9029411765,0.0470588235,4052,0.6218538981,4795,0.5681279621,1935,0.2292654028,70685
Arizona,13,Maricopa County,61013,5906,5138,719,0.1227590917,0.8772409083,33,2504,3098,304,0.423975618,0.5245513038,0.0514730782,2854,2701,104,0.9463910301,0.0364400841,1946,0.4626723728,2893,0.4898408398,1666,0.2820860142,72816
Arizona,13,Maricopa County,61014,5886,5321,516,0.0884015762,0.9115984238,28.7,2273,3258,355,0.3861705742,0.5535168196,0.0603126062,3691,3461,181,0.9376862639,0.049038201,2418,0.5313117996,2854,0.4848793748,1935,0.3287461774,56250
Arizona,13,Maricopa County,61015,6037,5534,503,0.0833195296,0.9166804704,28.9,2472,3069,496,0.4094749048,0.508365082,0.0821600133,2973,2691,282,0.9051463169,0.0948536831,2060,0.4598214286,3271,0.54182541,1826,0.3024681133,67773
