 ,E02001347,E02001348,E02001349,E02001350,E02001351,E02001352,E02001353,E02001354,E02001355,E02001356,E02001357,E02001358,E02001359,E02001360,E02001361,E02001362,E02001363,E02001364,E02001365,E02001366,E02001367,E02001368,E02001369,E02001370,E02001371,E02001372,E02001373,E02001374,E02001375,E02001376,E02001377,E02001378,E02001380,E02001381,E02001382,E02001383,E02001384,E02001385,E02001386,E02001387,E02001388,E02001389,E02001390,E02001391,E02001392,E02001393,E02001394,E02001395,E02001396,E02001397,E02001398,E02001399,E02001400,E02001401,E02001402,E02001403,E02001404,E02001405,E02006932,E02006933,E02006934
E02001347,350,60,41,50,151,64,2,55,15,11,12,26,2,36,4,3,1,5,7,11,16,42,17,15,2,34,24,31,3,9,68,4,4,17,3,13,6,4,5,4,2,6,7,2,1,10,11,2,12,5,6,1,4,13,6,2,57,4,147,76,152
E02001348,161,181,68,12,144,54,1,67,18,7,12,28,1,36,2,1,0,11,10,18,20,31,15,13,1,43,21,21,1,15,60,3,8,19,1,19,3,5,7,6,6,7,8,2,1,12,12,7,12,5,3,1,7,16,2,4,51,5,160,82,178
E02001349,126,91,176,22,112,70,1,64,21,4,5,23,2,49,6,1,0,11,2,19,11,42,29,14,3,44,24,27,7,8,81,14,8,21,1,17,6,3,12,8,1,8,14,2,3,18,9,3,6,7,4,2,2,12,8,3,82,2,210,118,286
E02001350,122,22,14,262,51,22,22,54,14,36,34,11,15,27,9,15,3,12,17,21,25,27,22,26,4,55,42,24,10,8,85,7,10,7,1,9,4,9,4,5,3,5,8,1,0,14,8,9,19,6,3,1,4,11,8,8,75,4,158,84,140
E02001351,204,46,20,128,153,48,7,111,17,44,57,25,3,42,5,9,1,10,19,26,23,35,20,21,4,45,31,23,6,18,71,12,7,4,1,9,4,9,1,5,5,11,8,1,0,12,10,3,10,10,6,3,4,17,6,7,75,9,182,93,128
E02001352,91,45,32,38,75,151,1,47,28,2,11,35,1,41,5,1,0,8,8,9,9,36,22,10,3,36,24,17,1,6,70,5,1,7,1,9,5,3,7,3,4,15,7,3,1,10,8,3,12,5,4,0,6,16,2,3,54,1,154,93,143
E02001353,111,22,7,104,49,22,82,47,16,25,13,17,14,38,6,20,12,17,25,30,49,32,33,30,3,123,50,33,12,11,98,12,9,21,1,22,11,10,6,12,10,5,12,4,3,23,22,10,25,12,6,1,5,20,5,9,70,5,222,149,219
E02001354,100,45,12,63,77,38,3,174,27,29,33,23,4,60,21,7,1,16,21,22,26,53,28,32,5,44,30,40,11,15,70,8,8,17,2,10,14,13,10,2,10,5,8,1,2,15,15,9,26,10,6,2,2,34,9,5,61,8,164,102,154
E02001355,97,27,9,30,44,44,0,64,102,6,20,75,0,59,11,3,1,12,18,16,11,35,21,23,8,32,23,29,7,11,83,11,6,15,0,9,10,7,2,5,4,6,17,0,1,3,12,2,18,3,2,0,4,10,6,4,61,4,170,106,170
E02001356,52,8,2,99,38,14,5,55,12,67,44,9,15,18,5,12,0,6,10,13,20,22,14,11,5,48,43,13,4,6,77,8,3,8,4,14,6,2,8,10,10,6,2,1,1,11,11,4,11,7,7,4,1,9,4,6,42,2,120,53,99
E02001357,69,15,6,59,50,19,4,108,16,56,74,16,8,32,8,16,3,15,14,34,33,27,24,30,2,49,49,24,7,9,62,9,9,15,0,16,7,1,10,7,4,8,1,0,1,15,11,4,12,5,7,1,3,23,9,5,67,4,137,81,108
E02001358,63,22,19,25,41,33,0,67,54,8,6,134,3,105,5,11,0,22,15,16,20,47,33,36,3,33,37,23,8,7,85,11,1,12,1,18,6,1,9,3,4,7,5,1,1,5,13,4,13,5,9,0,1,17,3,3,62,1,234,99,174
E02001359,59,9,6,40,32,9,5,25,18,20,17,10,64,26,6,14,12,10,7,30,85,26,21,23,7,117,57,40,12,11,64,11,7,23,3,10,8,8,10,10,8,5,8,3,4,19,20,8,15,3,6,2,4,15,10,10,56,2,160,88,112
E02001360,37,18,8,17,44,20,1,47,22,5,5,92,2,171,5,5,1,12,18,15,10,90,67,23,2,26,21,30,6,14,93,7,1,8,0,16,5,7,10,5,7,10,11,0,3,10,11,2,23,7,5,4,4,33,4,14,64,4,229,117,216
E02001361,60,13,6,23,36,28,0,88,28,25,34,31,0,71,59,4,4,30,64,40,14,42,56,75,1,60,44,44,9,18,99,15,3,20,1,13,11,8,12,5,21,11,6,1,6,11,20,6,18,6,6,1,3,38,3,9,78,7,232,140,192
E02001362,79,7,4,26,40,12,3,58,20,44,35,27,12,33,10,69,7,11,16,61,88,29,27,25,3,99,79,53,19,16,84,27,17,19,3,7,17,6,8,13,9,10,5,2,2,16,21,5,17,6,4,2,5,30,6,7,101,5,214,116,169
E02001363,28,11,6,31,27,11,3,26,11,4,9,8,27,15,10,9,87,10,6,21,93,44,18,12,35,183,66,35,24,15,86,17,8,6,2,10,10,9,14,11,10,11,12,3,3,15,15,13,22,4,5,4,5,17,5,9,70,5,153,87,149
E02001364,20,3,8,34,19,8,0,26,19,6,7,18,0,30,5,4,1,47,36,12,10,23,50,55,0,36,25,26,3,14,52,10,7,8,0,13,10,5,1,2,2,2,3,1,1,2,13,3,11,4,3,4,1,18,6,2,27,3,144,81,129
E02001365,37,11,4,48,39,27,6,39,35,14,13,18,4,65,17,7,5,38,137,39,23,49,72,105,9,73,54,62,15,25,140,13,2,20,1,21,14,17,4,8,7,7,14,1,3,11,16,11,24,8,4,3,8,24,6,2,93,3,327,154,212
E02001366,39,23,4,38,37,26,2,47,4,20,27,20,8,35,14,24,8,17,26,174,44,57,35,42,3,94,128,64,21,17,138,27,12,20,4,32,26,16,13,22,13,10,10,3,7,18,32,11,28,12,5,10,8,18,5,17,117,17,277,159,227
E02001367,63,21,16,28,27,14,4,32,7,28,25,16,19,36,10,19,10,7,27,59,246,59,35,33,7,261,121,68,27,20,100,30,14,29,10,21,17,4,11,24,19,7,17,5,4,42,24,10,37,15,5,9,6,23,17,5,93,9,283,134,253
E02001368,18,7,4,12,12,12,3,11,11,4,3,12,1,67,3,1,1,9,5,8,6,155,51,8,1,20,12,27,3,14,52,4,0,9,2,11,2,0,2,1,3,5,4,0,4,6,8,5,9,2,3,1,1,12,3,8,42,6,192,98,186
E02001369,17,14,3,19,24,20,0,16,13,5,5,15,5,51,3,10,1,18,27,11,14,64,121,68,4,38,27,44,5,21,143,4,1,15,3,21,15,13,3,11,5,4,6,1,1,8,10,4,18,3,6,5,1,17,3,7,73,4,316,171,228
E02001370,15,8,4,28,18,5,3,15,7,5,4,12,1,31,3,2,1,23,16,25,8,34,35,72,0,41,27,53,7,29,89,8,1,13,1,11,9,9,2,1,6,2,6,1,0,10,12,3,12,2,7,2,2,10,0,2,36,5,139,96,106
E02001371,24,5,6,28,21,13,0,11,8,2,3,7,4,23,4,2,19,0,6,19,34,19,18,17,59,238,67,27,26,14,110,22,12,21,1,7,6,14,10,12,9,3,10,5,8,19,13,11,11,7,5,2,4,30,2,5,81,5,152,80,105
E02001372,33,7,5,27,18,5,1,13,9,8,5,7,4,18,4,1,12,5,7,14,40,19,14,15,20,280,65,61,32,9,70,25,9,22,5,20,8,6,12,5,9,3,7,3,5,27,14,8,10,4,2,5,6,17,3,4,85,9,155,87,125
E02001373,35,7,4,24,26,18,0,28,12,11,11,12,7,25,7,7,5,12,16,58,44,23,38,16,10,169,318,101,65,25,165,74,18,41,7,25,40,11,19,23,29,17,15,1,7,31,31,19,40,15,8,5,7,33,17,6,101,11,242,140,239
E02001374,14,7,6,42,19,12,2,13,8,3,5,6,3,25,1,12,1,9,15,23,11,46,29,39,6,55,95,200,12,88,129,18,10,50,3,35,21,20,9,7,14,8,16,13,1,13,22,6,24,13,17,1,6,15,12,13,105,11,287,182,161
E02001375,24,7,5,11,24,10,1,24,6,1,6,9,4,17,1,5,4,11,8,28,32,27,20,22,6,228,153,70,91,21,118,56,23,36,6,15,28,8,17,22,20,11,17,1,4,40,29,14,31,14,7,4,4,14,10,8,77,6,151,88,188
E02001376,19,5,1,24,21,8,2,14,9,3,4,23,2,27,4,8,7,14,14,17,11,38,28,46,14,38,57,79,16,135,210,13,7,24,1,35,21,16,13,6,16,19,13,1,2,8,20,6,15,3,7,1,8,20,10,6,78,4,291,170,140
E02001377,12,2,3,14,8,3,1,9,2,2,3,8,2,25,1,4,2,22,4,13,10,34,24,15,8,38,25,40,5,29,276,5,4,32,2,43,42,10,13,4,20,4,24,4,1,20,41,8,14,3,14,3,5,23,15,15,95,11,432,304,138
E02001378,33,8,3,20,10,13,0,19,5,9,5,6,5,27,2,7,2,11,15,16,26,30,10,14,7,141,100,97,44,16,139,121,23,61,8,29,61,25,23,56,53,11,26,8,6,48,27,25,24,11,9,11,10,22,8,7,105,6,246,112,220
E02001380,23,6,1,11,28,9,1,14,13,7,5,11,5,25,0,5,2,10,12,23,22,22,24,16,4,180,40,80,30,20,111,49,90,43,18,25,31,14,35,68,28,11,11,7,17,81,26,19,42,25,10,7,20,40,12,22,120,17,267,128,210
E02001381,15,8,4,20,16,11,1,12,3,4,3,6,2,29,0,4,0,21,8,20,20,31,20,23,3,59,69,91,10,16,195,39,11,118,4,52,161,37,23,25,59,26,24,4,9,70,55,28,43,25,16,10,10,43,22,11,136,13,361,246,202
E02001382,24,7,6,15,16,9,1,10,5,4,13,8,4,25,1,4,2,11,9,25,25,24,34,22,4,123,49,60,19,20,100,13,30,26,70,24,28,19,56,87,32,8,13,11,17,110,27,23,32,24,11,3,10,37,10,20,134,13,228,133,230
E02001383,19,16,2,4,9,7,0,6,4,6,4,1,1,11,0,3,5,13,4,10,7,24,39,6,2,21,14,20,4,13,119,5,0,29,1,232,19,28,4,9,17,17,19,1,1,26,22,3,30,7,7,4,3,13,14,5,53,7,420,299,175
E02001384,31,8,2,8,9,8,0,2,9,5,3,11,3,11,2,3,1,32,7,10,11,23,23,12,5,68,29,42,8,16,143,34,6,61,3,53,179,35,16,25,67,14,18,6,3,83,75,34,22,13,24,19,6,49,10,8,149,11,441,339,198
E02001385,14,2,1,6,7,3,1,3,8,2,0,4,3,10,2,1,0,4,3,10,5,22,26,12,7,29,16,25,3,12,105,12,6,30,3,58,45,102,12,2,23,42,27,5,1,18,64,11,24,7,28,1,2,10,9,10,61,7,181,131,107
E02001386,16,1,0,8,18,3,0,5,2,5,5,5,4,17,6,2,1,4,3,18,8,18,13,18,1,54,19,43,4,10,93,12,14,19,16,13,20,12,275,36,16,9,17,29,38,62,26,12,22,47,12,6,9,42,6,34,182,19,168,83,127
E02001387,42,9,2,12,18,8,0,4,9,7,3,8,1,18,1,3,3,6,8,28,20,19,19,8,3,116,39,52,15,22,133,17,18,44,16,44,45,16,25,132,79,20,19,5,11,167,51,64,39,29,9,16,13,36,31,15,128,20,288,145,248
E02001388,54,13,2,6,16,5,1,6,11,4,4,14,1,16,6,1,0,16,2,17,24,29,28,20,2,95,22,42,10,22,155,25,11,49,4,72,78,19,19,53,149,16,27,5,11,154,83,75,48,14,16,15,15,25,18,21,144,12,343,246,207
E02001389,19,8,0,5,7,9,0,3,2,6,2,7,2,33,0,1,2,1,7,14,2,20,21,8,0,52,14,35,3,15,146,5,0,53,1,134,29,28,5,13,13,71,49,6,1,46,60,8,36,10,27,1,8,19,12,6,99,4,274,208,177
E02001390,13,11,4,9,15,6,0,3,4,6,2,1,1,21,1,2,2,4,7,5,5,27,29,17,3,33,34,45,5,10,88,11,1,20,2,81,21,42,9,16,9,43,186,2,3,19,64,12,78,10,64,9,9,14,29,9,121,11,259,225,160
E02001391,13,4,2,10,17,2,2,9,4,1,4,5,3,11,0,1,0,5,2,3,8,24,9,7,5,45,27,24,4,7,86,15,15,19,9,9,11,9,145,16,14,7,13,104,23,51,14,12,9,35,9,6,13,56,15,18,131,28,143,67,96
E02001392,21,11,4,5,12,5,1,5,6,4,6,2,5,14,3,1,2,6,2,10,21,30,17,8,1,66,10,28,6,5,76,15,6,14,15,21,17,7,54,27,30,8,18,8,46,76,19,17,14,51,11,9,13,50,22,27,122,22,129,71,137
E02001393,38,12,6,6,15,5,2,7,7,5,7,5,6,10,1,5,5,6,5,21,17,29,29,8,4,84,34,48,6,14,115,13,7,29,21,27,22,18,22,73,68,11,11,8,18,156,39,66,42,45,13,18,21,63,24,20,122,22,215,100,193
E02001394,52,11,0,9,13,7,3,9,6,1,7,10,7,9,6,3,1,17,4,14,6,30,35,10,2,81,28,48,6,17,172,15,3,48,5,88,44,17,17,23,35,33,23,3,11,130,145,44,54,10,60,27,8,26,37,18,155,11,413,214,249
E02001395,18,9,2,6,16,8,0,7,14,2,8,3,1,18,2,1,2,2,6,16,14,15,32,10,3,53,24,38,9,8,116,20,6,32,6,24,30,9,25,44,62,12,16,1,8,130,67,112,24,34,29,31,18,37,38,18,135,13,216,114,200
E02001396,33,5,4,13,11,4,1,8,7,5,3,12,2,32,2,2,4,5,4,7,19,27,39,15,1,48,30,45,10,13,125,18,3,32,0,90,26,24,7,14,10,40,134,2,10,31,54,15,164,11,51,9,6,34,26,7,209,13,375,250,303
E02001397,26,5,7,6,14,4,3,7,3,5,13,1,2,12,7,0,4,6,5,15,9,27,21,9,2,76,27,39,8,7,97,5,15,28,10,21,23,11,55,26,23,8,10,9,47,120,39,14,35,142,14,7,15,93,22,23,192,39,183,113,170
E02001398,37,9,4,5,20,12,2,1,8,4,1,4,5,28,1,7,3,10,1,13,9,35,44,5,3,72,20,27,6,9,144,14,8,26,3,119,22,19,6,17,43,32,50,0,6,60,84,23,63,9,99,15,13,33,49,20,170,15,315,157,256
E02001399,27,7,5,15,15,6,2,6,2,4,7,3,3,14,3,0,2,5,5,8,18,29,33,5,3,62,18,28,9,15,113,6,7,23,2,35,19,7,20,26,30,12,36,5,6,129,99,55,39,21,40,100,38,54,116,53,214,28,227,128,227
E02001400,15,0,3,4,11,8,0,5,4,0,2,2,2,21,0,1,1,3,5,9,13,25,22,9,2,43,19,30,2,7,98,16,4,21,8,20,13,11,22,26,30,11,24,4,3,82,66,54,29,35,25,43,82,66,61,43,271,21,175,115,189
E02001401,25,4,1,5,12,5,2,6,3,3,4,3,1,21,1,3,1,1,1,6,11,23,20,12,1,51,15,40,3,5,93,15,11,13,6,15,11,5,34,31,28,19,20,10,16,78,36,31,31,127,10,13,23,223,33,44,377,45,170,94,200
E02001402,28,9,6,6,17,7,1,8,11,3,1,4,6,16,2,0,2,1,2,10,16,34,41,7,2,67,24,37,5,10,144,8,10,42,3,32,20,13,12,37,27,19,46,2,13,114,79,29,63,20,38,60,24,40,168,64,264,25,284,146,337
E02001403,15,1,1,9,12,6,1,5,1,2,2,2,2,13,2,1,4,3,0,4,9,15,18,5,3,29,21,20,2,1,67,9,3,26,3,21,19,7,13,21,28,13,13,3,2,48,52,32,31,22,30,32,25,60,78,126,405,50,164,76,105
E02001404,7,11,1,9,6,4,1,5,3,3,1,3,2,20,2,1,1,2,5,4,7,21,13,7,4,22,25,31,5,4,52,9,4,11,3,19,13,5,16,12,9,10,13,0,8,46,31,28,24,33,15,14,29,113,59,129,621,126,118,80,110
E02001405,10,2,5,13,10,1,0,8,3,3,3,4,1,12,0,1,3,2,3,18,8,33,11,13,1,32,17,9,3,11,68,11,7,13,4,8,9,13,18,15,17,11,9,5,8,23,35,7,34,51,22,6,34,147,43,59,722,285,97,67,113
E02006932,32,7,6,8,10,0,0,4,1,1,0,8,2,10,2,1,0,26,1,6,12,16,37,5,0,20,5,19,2,4,109,7,2,23,0,87,14,2,6,3,11,6,5,0,2,26,14,5,22,3,7,9,4,9,8,4,65,5,706,457,297
E02006933,27,6,1,5,14,6,0,1,12,1,2,4,2,16,2,0,4,3,3,8,9,12,19,5,1,48,14,56,4,8,101,7,1,27,2,68,16,10,3,6,5,9,26,2,0,27,13,2,39,3,17,4,2,10,2,9,79,5,351,430,318
E02006934,25,3,2,8,20,3,0,2,5,3,3,14,8,17,2,1,0,5,1,3,6,31,26,5,2,27,12,26,4,4,81,2,5,24,1,38,6,7,3,11,6,1,7,1,2,13,8,1,20,4,2,3,4,6,7,0,62,2,448,214,677
