UID,pop,pop_m,earnings,earnings_m
6075010100,2371,226,49954,15503
6075010200,2975,315,75984,10892
6075010300,2748,324,47586,10549
6075010400,3668,442,48931,6531
6075010500,1562,198,110076,5331
6075010600,2172,374,22074,8666
6075010700,2716,315,25929,6193
6075010800,3173,338,50769,7939
6075010900,3517,258,90531,11723
6075011000,4030,521,59709,6773
6075011100,3852,374,52817,4299
6075011200,1925,281,65445,11857
6075011300,1509,264,27070,14023
6075011700,1087,277,32396,17619
6075011800,892,178,15833,4888
6075011901,1739,194,54100,3438
6075011902,1938,198,45368,18942
6075012000,2470,279,35161,11894
6075012100,2717,282,36020,9002
6075012201,2739,372,30482,5226
6075012202,1920,430,25948,4038
6075012301,595,169,25074,8046
6075012302,1518,236,37206,7940
6075012401,2547,576,19499,3636
6075012402,1972,276,40070,7648
6075012501,1172,272,18274,6027
6075012502,1780,624,16754,4170
6075012601,1885,186,86949,8211
6075012602,2179,249,100583,25860
6075012700,2572,305,87808,13448
6075012800,3243,353,76280,11416
6075012901,2121,258,83336,2983
6075012902,2655,284,74671,5694
6075013000,3313,368,75680,7643
6075013101,3077,320,100204,16233
6075013102,1919,198,80493,15508
6075013200,2669,377,100743,9250
6075013300,2429,211,86477,14684
6075013400,2906,251,64571,22544
6075013500,1913,185,82205,6711
6075015100,1311,173,71660,7263
6075015200,2580,267,67279,10197
6075015300,1483,155,51833,7829
6075015400,3837,459,63356,5221
6075015500,1839,314,62725,17096
6075015600,1844,239,55156,11964
6075015700,5418,593,36278,5186
6075015801,2232,315,47222,10531
6075015802,2155,323,58295,10613
6075015900,2177,241,38774,6988
6075016000,1670,247,59583,15262
6075016100,2247,388,23906,8405
6075016200,1964,266,52500,11713
6075016300,3907,853,40522,11269
6075016400,3076,249,52870,7839
6075016500,3973,428,50901,10181
6075016600,4423,443,50911,5744
6075016700,4022,367,67034,7532
6075016801,2555,314,54788,13027
6075016802,2244,296,62019,17567
6075016900,2418,247,55750,11589
6075017000,2908,251,83547,13899
6075017101,2642,204,72083,13538
6075017102,3057,269,68138,4272
6075017601,3695,541,34096,5226
6075017700,1168,221,38990,10154
6075017801,1133,194,88125,18607
6075017802,2704,472,34153,10048
6075017902,1656,311,16290,9440
6075018000,2121,247,78818,31185
6075020100,3122,404,31540,6914
6075020200,4027,468,53977,12317
6075020300,2306,260,64082,5163
6075020401,2508,247,82154,10967
6075020402,2944,338,63931,8771
6075020500,2051,173,70554,15817
6075020600,3276,327,84549,13992
6075020700,4330,394,74910,11318
6075020800,4421,651,32545,6266
6075020900,2996,269,29137,5131
6075021000,3500,446,63006,11676
6075021100,2660,239,76559,6928
6075021200,2022,174,71026,10431
6075021300,1761,194,82218,15344
6075021400,2426,223,80000,10115
6075021500,3425,418,63647,12776
6075021600,3076,520,56589,17583
6075021700,2373,312,67997,13452
6075021800,2711,216,69023,13588
6075022600,1482,126,96364,12511
6075022702,1642,131,76731,11984
6075022704,2563,175,81174,9925
