Year,Millions
1948,191274
1949,194639
1950,200097
1951,197686
1952,197993
1953,206868
1954,215626
1955,224699
1956,226305
1957,231475
1958,238312
1959,248923
1960,258729
1961,264766
1962,270927
1963,282798
1964,292524
1965,296349
1966,302053
1967,310045
1968,319489
1969,321843
1970,331408
1971,342706
1972,365248
1973,385685
1974,380734
1975,380190
1976,382298
1977,381437
1978,402026
1979,421124
1980,421649
1981,422888
1982,427875
1983,446682
1984,457786
1985,481347
1986,512598
1987,540083
1988,582186
1989,605166
1990,609533
1991,604944
1992,611943
1993,630895
1994,651842
1995,665329
1996,693515
1997,727162
1998,759518
1999,797468
2000,839597
2001,870315
2002,905703
2003,938915
2004,971329
2005,1001781
2006,1021577
2007,1053452
2008,1045809
2009,1009965
2010,1010428
2011,1009521
2012,1029378
2013,1049204
2014,1077393
