Block,Title,C1,C2,C3,C4,C5,C6,C7,C8,C9
1,An introduction to Urban Analytics,X,,,,,,,,
2, Computing 101,,,X,,,,,,
3, Traditional data,,X,,,,,,,
4, New forms of data,,X,,,,,,,
5,Data and Computing Software,,,X,,,,,,
6, Representation,,,,X,,,,,
7, Urban Visualization,,,,X,,,,,
8, Urban Mapping,,,,X,,,,,
9, Geodemographic Analysis,,,,,X,,,,
10, Urban Indicators,,,,,X,,,,
11, Explanatory Urban Models,,,,,,X,,,
12, Spatial Models,,,,,,X,,,
13, ABM and Cities,,,,,,,X,,
14, Network Analysis,,,,,,,,X,
15,Future Urban Analytics,,,,,,,,,X
1, Introduction to R,X,,,,,,,,
2, Data Manipulation in R,,X,X,,,,,,
3, Basic SQL,,X,X,,,,,,
4, Descriptive statistics,,X,,,,,,,
5, Data Viz 1: Charts and Graphs (ggplot2),,,,X,,,,,
6, Data Viz 2: Mapping Areas and Context,,,,X,,,,,
7, Data Viz 3: Visualizing Point Patterns,,,,X,,,,,
8, Linking R to the Web,,X,,,,,,,
9, Data Viz 4: Mapping Flows,,,,X,,,,,
10, Data Reduction - Geodemographics,,,,,X,,,,
11, Data Reduction  - Indices,,,,,X,,,,
12, Basic Regression,,,,,,X,,,
13, Advanced Regression,,,,,,X,,,
14, ABM,,,,,,,X,,
15, Network Analysis,,,,,,,,X,
